Sample_ID	Sample_Path	Channel	Audio_Length	Start	End	Transcription	Speaker_ID	Database
Y_M-Fokw3Wlco_390.0_393.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	3.0	390.0	393.0	con un solo pronóstico lo quitaste del	unknown	benedetti
Y_M-Fokw3Wlco_393.0_396.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	3.0	393.0	396.0	suburbio de tu vida posible lo envolví	unknown	benedetti
Y_M-Fokw3Wlco_396.0_398.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	2.0	396.0	398.0	tst en nostalgias lo cargas te por	unknown	benedetti
Y_M-Fokw3Wlco_398.0_402.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	4.0	398.0	402.0	cuadras y cuadras y despacito sin que el	unknown	benedetti
Y_M-Fokw3Wlco_402.0_405.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	3.0	402.0	405.0	aire nocturno lo advirtiera ahí nomás lo	unknown	benedetti
Y_M-Fokw3Wlco_405.0_408.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	3.0	405.0	408.0	dejaste a solas con su suerte que no es	unknown	benedetti
Y_M-Fokw3Wlco_408.0_412.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	4.0	408.0	412.0	mucho creo que tienen razón la culpa es	unknown	benedetti
Y_M-Fokw3Wlco_412.0_415.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	3.0	412.0	415.0	de uno cuando no enamora y no de los	unknown	benedetti
Y_M-Fokw3Wlco_415.0_418.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	3.0	415.0	418.0	pretextos ni del tiempo	unknown	benedetti
Y_M-Fokw3Wlco_418.0_421.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	3.0	418.0	421.0	hace mucho muchísimo que yo no me	unknown	benedetti
Y_M-Fokw3Wlco_421.0_424.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	3.0	421.0	424.0	enfrentaba como anoche al espejo y fue	unknown	benedetti
Y_M-Fokw3Wlco_424.0_427.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	3.0	424.0	427.0	implacable como vos más no fue tierno	unknown	benedetti
Y_M-Fokw3Wlco_427.0_430.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	3.0	427.0	430.0	ahora estoy solo francamente solo	unknown	benedetti
Y_M-Fokw3Wlco_430.0_433.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	3.0	430.0	433.0	siempre cuesta un poquito empezar a	unknown	benedetti
Y_M-Fokw3Wlco_433.0_436.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	3.0	433.0	436.0	sentirse desgraciado antes de regresar a	unknown	benedetti
Y_M-Fokw3Wlco_436.0_439.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	3.0	436.0	439.0	mis lóbregos cuarteles de invierno con	unknown	benedetti
Y_M-Fokw3Wlco_439.0_443.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	4.0	439.0	443.0	los ojos bien secos por si acaso miro	unknown	benedetti
Y_M-Fokw3Wlco_443.0_446.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	3.0	443.0	446.0	cómo te vas adentrando en la niebla y	unknown	benedetti
Y_M-Fokw3Wlco_446.0_459.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	13.0	446.0	459.0	empiezo a recordarte	unknown	benedetti
Y_M-Fokw3Wlco_459.0_461.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	2.0	459.0	461.0	no te salves	unknown	benedetti
Y_M-Fokw3Wlco_461.0_464.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	3.0	461.0	464.0	no te quedes inmóvil al borde del camino	unknown	benedetti
Y_M-Fokw3Wlco_464.0_467.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	3.0	464.0	467.0	no con geles el júbilo no quieras con	unknown	benedetti
Y_M-Fokw3Wlco_467.0_471.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	4.0	467.0	471.0	desgana no te salves ahora ni nunca no	unknown	benedetti
Y_M-Fokw3Wlco_471.0_474.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	3.0	471.0	474.0	te salves no te llenes de calma no	unknown	benedetti
Y_M-Fokw3Wlco_474.0_476.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	2.0	474.0	476.0	reservas del mundo solo un rincón	unknown	benedetti
Y_M-Fokw3Wlco_476.0_477.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	1.0	476.0	477.0	tranquilo	unknown	benedetti
Y_M-Fokw3Wlco_477.0_480.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	3.0	477.0	480.0	no dejes carlos párpados pesados como	unknown	benedetti
Y_M-Fokw3Wlco_480.0_483.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	3.0	480.0	483.0	juicios no te quedes sin labios no te	unknown	benedetti
Y_M-Fokw3Wlco_483.0_486.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	3.0	483.0	486.0	duermas sin sueño no te pienses sin	unknown	benedetti
Y_M-Fokw3Wlco_486.0_490.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	4.0	486.0	490.0	sangre no te juzgue sin tiempo pero si	unknown	benedetti
Y_M-Fokw3Wlco_490.0_493.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	3.0	490.0	493.0	pese a todo no puedes evitarlo y	unknown	benedetti
Y_M-Fokw3Wlco_493.0_496.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	3.0	493.0	496.0	congelas el júbilo y quieres con desgana	unknown	benedetti
Y_M-Fokw3Wlco_496.0_499.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	3.0	496.0	499.0	y te salvas ahora y te llenas de calma y	unknown	benedetti
Y_M-Fokw3Wlco_499.0_501.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	2.0	499.0	501.0	reservas del mundo solo un rincón	unknown	benedetti
Y_M-Fokw3Wlco_501.0_504.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	3.0	501.0	504.0	tranquilo y dejas caer los párpados	unknown	benedetti
Y_M-Fokw3Wlco_504.0_507.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	3.0	504.0	507.0	pesados como juicios y te secas sin	unknown	benedetti
Y_M-Fokw3Wlco_507.0_509.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	2.0	507.0	509.0	labios y te duermes sin sueño y te	unknown	benedetti
Y_M-Fokw3Wlco_509.0_512.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	3.0	509.0	512.0	piensas sin sangre y te juzgas sin	unknown	benedetti
Y_M-Fokw3Wlco_512.0_515.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	3.0	512.0	515.0	tiempo y te quedas inmóvil al borde del	unknown	benedetti
Y_M-Fokw3Wlco_515.0_519.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	4.0	515.0	519.0	camino y te salvas entonces no te quedes	unknown	benedetti
Y_M-Fokw3Wlco_519.0_519.0	/home/cx02775/iterative-pseudo-forced-alignment-ctc//data/sample/audio_16kHz/Y_M-Fokw3Wlco.wav	1	0.0	519.0	519.0	conmigo	unknown	benedetti
